,steps,self_finding_steps,prop_selected_correctly,participant,level
814,59,1.0,0.2,15,19
815,43,4.333333333333333,0.6,15,20
816,13,3.0,1.0,15,21
817,19,3.0,0.25,15,22
818,25,3.0,0.4,15,23
819,26,1.0,0.2,15,24
820,34,2.8,1.0,15,25
821,53,3.625,0.7272727272727273,15,26
822,25,1.75,1.0,15,27
823,41,2.0,0.14285714285714285,15,28
824,27,,,15,29
825,13,1.5,1.0,15,30
826,7,,0.0,15,31
827,57,1.8333333333333333,0.75,15,32
828,27,2.6666666666666665,0.75,15,33
829,31,3.6666666666666665,0.375,15,34
830,13,4.333333333333333,0.75,15,35
831,40,3.4,0.5,15,36
832,25,1.5,0.3333333333333333,15,37
833,40,2.6,0.45454545454545453,15,38
834,62,4.125,0.5333333333333333,15,39
835,297,3.5714285714285716,0.7368421052631579,15,40
836,48,4.428571428571429,0.6363636363636364,15,41
837,13,,0.0,15,42
838,58,3.857142857142857,0.6363636363636364,15,43
839,55,4.4,0.5555555555555556,15,44
840,27,2.75,0.6666666666666666,15,45
841,20,3.0,0.6666666666666666,15,46
842,222,2.875,0.5,15,47
843,45,,0.0,15,48
844,13,4.0,0.5,15,49
845,56,3.2,0.38461538461538464,15,50
846,46,1.0,0.6666666666666666,15,51
847,27,2.6666666666666665,0.6,15,52
848,137,,,16,0
849,9,,,16,1
850,57,,,16,2
851,71,,,16,3
852,13,,,16,4
853,13,,,16,5
854,61,,,16,6
855,9,,,16,7
856,25,,,16,8
857,19,,,16,9
858,90,,,16,10
859,11,,,16,11
860,32,,,16,12
861,115,,,16,13
862,57,,,16,14
863,31,,,16,15
864,26,,,16,16
865,21,,,16,17
866,153,,,16,18
867,191,,,16,19
868,78,,,16,20
869,17,,,16,21
870,63,,,16,22
871,44,,,16,23
872,118,,,16,24
873,42,,,16,25
874,85,,,16,26
875,10,,,16,27
876,39,,,16,28
877,214,,,16,29
878,41,,,16,30
879,17,,,16,31
880,46,,,16,32
881,37,,,16,33
882,280,,,16,34
883,120,,,16,35
884,12,,,16,36
885,171,,,16,37
886,747,,,16,38
887,558,,,16,39
888,145,,,16,40
889,52,,,16,41
890,110,,,16,42
891,895,,,16,43
892,134,,,16,44
893,1313,,,16,45
894,371,,,16,46
895,1318,,,16,47
896,469,,,16,48
897,5420,,,16,49
898,159,,,16,50
899,1475,,,16,51
900,131,,,16,52
901,225,3.0,0.6,17,0
902,232,3.56,0.8620689655172413,17,1
903,13,4.4,0.8333333333333334,17,2
904,124,3.9047619047619047,0.9545454545454546,17,3
905,38,4.75,1.0,17,4
906,76,4.0,0.8888888888888888,17,5
907,53,3.4285714285714284,1.0,17,6
908,19,3.25,0.8,17,7
909,27,3.1666666666666665,1.0,17,8
910,38,1.6,0.7142857142857143,17,9
911,27,2.2857142857142856,1.0,17,10
912,41,4.777777777777778,0.9,17,11
913,17,3.5,1.0,17,12
914,19,4.6,1.0,17,13
915,27,4.571428571428571,1.0,17,14
916,27,3.5714285714285716,1.0,17,15
917,19,2.6666666666666665,0.6,17,16
918,9,0.0,0.5,17,17
919,19,3.6,1.0,17,18
920,31,3.7142857142857144,1.0,17,19
921,45,3.8333333333333335,0.8571428571428571,17,20
922,13,2.6666666666666665,1.0,17,21
923,11,3.3333333333333335,1.0,17,22
924,29,2.142857142857143,1.0,17,23
925,27,3.5,1.0,17,24
926,17,3.4,1.0,17,25
927,37,3.3636363636363638,1.0,17,26
928,27,3.75,1.0,17,27
929,13,4.5,1.0,17,28
930,19,3.0,1.0,17,29
