,steps,self_finding_steps,prop_selected_correctly,participant,level
119,398,7.0,0.0,2,13
120,44,1.0,1.0,2,14
121,30,7.0,0.0,2,15
122,54,7.0,0.0,2,16
123,104,7.0,0.0,2,17
124,89,7.0,0.0,2,18
125,91,7.0,0.0,2,19
126,45,7.0,0.0,2,20
127,14,6.0,1.0,2,21
128,36,7.0,0.0,2,22
129,117,7.0,0.0,2,23
130,56,6.0,1.0,2,24
131,304,7.0,0.0,2,25
132,69,7.0,0.0,2,26
133,10,,,2,27
134,154,7.0,0.0,2,28
135,56,7.0,0.0,2,29
136,208,5.0,0.5,2,30
137,90,7.0,0.0,2,31
138,126,3.0,1.0,2,32
139,60,0.0,1.0,2,33
140,211,7.0,0.0,2,34
141,620,7.0,0.0,2,35
142,299,5.0,1.0,2,36
143,262,,,2,37
144,780,7.0,0.0,2,38
145,506,7.0,0.0,2,39
146,1073,7.0,0.0,2,40
147,574,7.0,0.0,2,41
148,2811,7.0,0.0,2,42
149,910,7.0,0.0,2,43
150,6624,7.0,0.0,2,44
151,1166,7.0,0.0,2,45
152,8700,7.0,0.0,2,46
153,153,7.0,0.0,2,47
154,1848,7.0,0.0,2,48
155,18,,,2,49
156,61,,,2,50
157,2656,7.0,0.0,2,51
158,735,7.0,0.0,2,52
159,66,4.571428571428571,1.0,3,0
160,16,3.5,1.0,3,1
161,10,3.0,1.0,3,2
162,16,4.0,1.0,3,3
163,20,3.0,1.0,3,4
164,34,3.6,1.0,3,5
165,62,3.6666666666666665,1.0,3,6
166,42,3.0,1.0,3,7
167,20,3.3333333333333335,1.0,3,8
168,75,3.8,0.9,3,9
169,38,4.6,1.0,3,10
170,28,4.5,0.75,3,11
171,90,4.363636363636363,0.9230769230769231,3,12
172,28,3.25,1.0,3,13
173,18,2.0,1.0,3,14
174,40,3.6666666666666665,1.0,3,15
175,37,3.6,0.8333333333333334,3,16
176,28,5.75,0.75,3,17
177,18,3.6666666666666665,1.0,3,18
178,76,3.8,1.0,3,19
179,14,3.0,1.0,3,20
180,12,5.0,0.5,3,21
181,48,3.6666666666666665,1.0,3,22
182,34,3.8,1.0,3,23
183,18,4.0,1.0,3,24
184,34,4.2,1.0,3,25
185,20,3.6666666666666665,1.0,3,26
186,24,3.75,1.0,3,27
187,70,3.4444444444444446,1.0,3,28
188,40,5.0,0.8333333333333334,3,29
189,18,3.6666666666666665,1.0,3,30
190,28,2.75,1.0,3,31
191,14,2.5,1.0,3,32
192,18,3.0,1.0,3,33
193,62,4.142857142857143,0.8888888888888888,3,34
194,66,3.4285714285714284,1.0,3,35
195,68,4.875,0.8888888888888888,3,36
196,28,4.0,1.0,3,37
197,68,4.571428571428571,0.875,3,38
198,68,4.5,0.75,3,39
199,44,4.5,0.8333333333333334,3,40
200,44,4.2,1.0,3,41
201,26,3.75,0.8,3,42
202,35,5.4,0.8,3,43
203,76,4.636363636363637,0.75,3,44
204,101,3.9,0.8181818181818182,3,45
205,26,4.0,0.75,3,46
206,34,4.0,1.0,3,47
207,56,4.75,0.8888888888888888,3,48
208,28,2.25,1.0,3,49
209,104,5.181818181818182,0.5,3,50
210,27,3.5,1.0,3,51
211,104,5.0,0.8666666666666667,3,52
212,172,,,4,0
213,278,6.333333333333333,0.4,4,1
214,343,5.2,0.42857142857142855,4,2
215,54,6.5,0.5,4,3
216,100,3.0,1.0,4,4
217,608,5.0,1.0,4,5
218,71,,,4,6
219,22,7.0,0.0,4,7
220,180,,,4,8
221,40,,,4,9
222,194,0.0,1.0,4,10
223,390,,,4,11
224,20,,,4,12
225,208,,,4,13
226,49,7.0,0.0,4,14
227,15,5.0,0.5,4,15
228,425,7.0,0.0,4,16
229,78,7.0,0.0,4,17
230,56,,,4,18
231,30,0.0,1.0,4,19
232,639,7.0,0.0,4,20
233,2529,,,4,21
234,116,,,4,22
235,2198,,,4,23
236,11679,7.0,0.0,4,24
237,26,,,4,25
238,896,6.0,0.2,4,26
239,70,7.0,0.0,4,27
240,250,7.0,0.0,4,28
241,154,7.0,0.0,4,29
242,27,,,4,30
243,32,,,4,31
244,10,0.0,1.0,4,32
245,212,,,4,33
246,363,5.8,0.2,4,34
247,214,,,4,35
248,221,,,4,36
249,110,5.5,0.6666666666666666,4,37
250,355,,,4,38
251,228,7.0,0.0,4,39
252,488,,,4,40
253,26,,,4,41
254,487,0.0,1.0,4,42
255,1141,,,4,43
256,86,,,4,44
257,116,,,4,45
258,128,,,4,46
259,78,,,4,47
260,802,7.0,0.0,4,48
261,887,,,4,49
262,184,,,4,50
263,152,,,4,51
264,1363,,,4,52
265,193,,,5,0
266,241,,,5,1
267,55,,,5,2
268,52,,,5,3
269,12,,,5,4
270,61,,,5,5
271,12,,,5,6
272,26,,,5,7
273,12,,,5,8
274,30,,,5,9
275,57,,,5,10
276,123,,,5,11
277,108,,,5,12
278,38,,,5,13
279,12,,,5,14
280,24,,,5,15
281,455,,,5,16
282,143,,,5,17
283,14,,,5,18
284,537,,,5,19
285,666,,,5,20
286,24,,,5,21
287,18,,,5,22
